draws,first_name,height,last_name,losses,reach,stance,url,weight,wins,fighter_id,SApM,SLpM,Str. Acc.,Str. Def,Sub. Avg.,TD Acc.,TD Avg.,TD Def.
0,Sara,"5' 6""",McMann,5,"66.0""",Orthodox,7be74a12d7352df2,135 lbs.,11,1725,2.06,2.37,44%,47%,0.5,64%,4.67,66%
0,James,"6' 4""",McSweeney,9,"77.0""",Switch,cac08b8685387ca5,230 lbs.,6,1726,4.33,3.94,55%,42%,1.1,33%,0.52,100%
0,Charles,--,McTorry,0,--,,acd8a53f7c0ce85e,--,2,1727,0.00,0.00,0%,0%,0.0,0%,0.00,0%
0,Daniel,"6' 1""",McWilliams,19,--,,7b03d9df5910917d,185 lbs.,9,1728,0.00,3.36,77%,0%,21.6,0%,0.00,100%
1,Tim,"6' 2""",Means,10,"75.0""",Orthodox,4b47e71384a9522f,170 lbs.,27,1729,3.22,4.71,44%,63%,0.2,44%,0.66,63%
0,Yancy,"5' 10""",Medeiros,5,"75.0""",Orthodox,813550bc53b15fb0,170 lbs.,15,1730,5.22,4.39,36%,48%,0.6,33%,0.15,83%
0,Anistavio,"5' 6""",Medeiros,8,--,Orthodox,2937cb502dda0808,145 lbs.,15,1731,5.00,3.64,44%,47%,0.0,0%,0.00,0%
0,Kaline,"5' 3""",Medeiros,5,--,,263af068bd986548,115 lbs.,8,1732,0.29,2.06,70%,83%,4.4,100%,4.41,0%
0,Todd,"5' 10""",Medina,9,--,Southpaw,b60391da771deefe,193 lbs.,11,1733,0.00,0.00,0%,0%,0.0,0%,0.00,0%
1,Jason,"5' 9""",Medina,13,--,,f53fb9d9e57cc38e,180 lbs.,21,1734,0.00,0.00,0%,0%,0.0,0%,0.00,0%
0,Gerald,"6' 1""",Meerschaert,9,"77.0""",Southpaw,6ac9bc2953c47345,185 lbs.,27,1735,4.22,3.38,44%,51%,1.5,30%,2.24,57%
0,Frank,"5' 10""",Megallon,3,--,Southpaw,c0a93b52096b7682,185 lbs.,2,1736,5.32,1.14,21%,54%,0.0,0%,0.00,0%
0,Derrick,"6' 4""",Mehmen,4,--,,6c7dafd03b6cc3f8,205 lbs.,12,1737,4.53,1.93,14%,48%,0.0,16%,1.00,0%
0,Miika,--,Mehmet,4,--,Orthodox,41dca66f9dadfc86,205 lbs.,3,1738,7.29,0.33,12%,24%,0.0,0%,0.00,0%
0,Jordan,"6' 0""",Mein,12,"73.0""",Orthodox,2aa49b3766a59bcd,170 lbs.,30,1739,2.71,3.66,44%,69%,0.2,55%,1.38,66%
0,Bryce,"6' 1""",Mejia,1,--,,6eae26c44e505775,170 lbs.,3,1740,6.98,3.49,62%,50%,0.0,0%,0.00,0%
0,Brian,"5' 8""",Melancon,3,"72.0""",Orthodox,eee7dafac7d672b5,170 lbs.,7,1741,3.64,4.18,49%,64%,0.0,100%,2.02,66%
0,Brandon,"5' 11""",Melendez,21,--,Southpaw,2b06b6ad5db63348,155 lbs.,26,1742,0.56,0.84,26%,63%,0.0,0%,0.00,25%
